Actual,Predicted
31.0,43.792550223008455
48.0,42.47836332547433
29.0,46.31495645622074
32.0,40.43630634425998
45.0,44.19330652180176
58.0,57.01237477944568
123.0,103.26935217397794
115.0,102.11209007342373
116.0,112.68874725291181
110.0,118.34713824109126
102.0,113.38262010078255
120.0,126.50451722509285
128.0,124.19508384008472
152.0,136.36034035268386
199.0,160.80560519020744
169.0,176.59879887859742
160.0,182.35143438054988
216.0,179.0080877277688
207.0,176.6860091431042
204.0,178.279128947246
213.0,182.85606816851262
208.0,186.79086195627548
226.0,176.61833689476836
215.0,200.1483929012345
201.0,197.94448154678943
185.0,189.03301481460576
148.0,126.26204658163294
57.0,141.99715298009255
88.0,106.46083334713447
111.0,104.99561287564698
130.0,101.47566270902107
134.0,102.00263659695378
65.0,96.4692404432672
106.0,90.11531722134539
72.0,88.99489924067953
65.0,86.82106661745816
110.0,87.54311738737091
96.0,91.31598385555436
89.0,90.56185962589362
74.0,91.44495093402367
108.0,89.69470352549985
99.0,105.85836973924226
102.0,113.82776818343524
97.0,111.38255338399581
165.0,109.81073735246908
181.0,122.862414735565
133.0,132.77970343396274
78.0,129.7303048923315
82.0,106.74079260980754
142.0,144.80056028240625
202.0,112.50980470182985
173.0,188.24054005323526
171.0,182.21745244979178
217.0,181.17291160057516
184.0,182.32208688429054
198.0,189.3318716620014
178.0,187.94445931626004
173.0,186.69169117348758
164.0,182.2520286939656
202.0,167.04009798604
214.0,162.96241372307855
146.0,164.7227335544688
141.0,126.93398023639953
100.0,126.85860573455419
150.0,131.94084480855372
112.0,125.47016541411715
123.0,125.49229045739582
118.0,126.0919492776488
120.0,121.133090253673
107.0,117.32625314445411
118.0,131.18819537464222
170.0,126.58535069155795
112.0,123.40280752586989
50.0,84.28330160385825
50.0,43.08088229117101
35.0,43.16907326111312
56.0,42.56861459948471
33.0,41.34960954133032
42.0,45.050779018703395
56.0,38.55802190728965
48.0,42.771058285145244
49.0,39.61887492256069
40.0,41.19944248583144
52.0,40.907406177729506
32.0,40.943222158395045
45.0,43.0149149150725
41.0,42.04449543050034
30.0,43.001238248512294
47.0,43.8099073875499
49.0,41.21146296573043
49.0,42.99472200988166
39.0,43.89852598707737
32.0,41.801640791778034
52.0,42.12839452333153
41.0,42.40188528598688
50.0,42.492065739556466
35.0,44.18746858847684
29.0,64.04187565057973
121.0,114.41125277802257
86.0,108.52889363954863
135.0,104.20783027062836
91.0,123.96952897316515
149.0,110.30519074997385
100.0,155.0814789085634
132.0,132.3425467357078
197.0,148.0485387274375
224.0,186.6745816543585
187.0,181.05537954588996
183.0,188.0817331455368
188.0,184.4555874268461
158.0,186.7147007146957
168.0,176.8274060868957
199.0,182.6380469959761
214.0,188.10024328377693
179.0,179.5915791342239
202.0,184.04893217940034
160.0,183.3721925539504
195.0,164.93487616123298
142.0,140.353180525346
93.0,148.62174483444707
132.0,82.95472498729768
97.0,130.63860579466444
117.0,102.28193856054999
89.0,100.2286426708828
103.0,96.69219895444286
87.0,101.57641696391919
86.0,98.21709206686604
99.0,89.51927910118437
77.0,89.37210197055201
57.0,90.78354127491282
96.0,88.84848712038922
81.0,86.05238389530287
112.0,86.83691233256886
106.0,91.54919208506237
55.0,103.98158398784535
157.0,94.55669006765265
105.0,115.75463564882425
93.0,100.7684254682322
100.0,111.63029074918319
133.0,105.18645039409654
109.0,115.30541713619883
78.0,118.7343006127126
153.0,113.98825653538006
137.0,122.78811981302002
193.0,136.7559558580418
223.0,188.4162803336453
188.0,180.73759996119108
239.0,188.88919496846142
188.0,179.02970945979942
190.0,188.84284527795677
182.0,189.96842764470227
223.0,190.78788715735976
197.0,184.09900242057523
208.0,174.53470510082963
230.0,161.73905653337889
123.0,157.03242348753045
165.0,124.10761211413646
163.0,134.11869073347498
130.0,136.4160260873566
150.0,131.6505860603479
168.0,132.6093579008135
129.0,112.13955752706606
120.0,125.01881762724757
157.0,133.81426234387882
103.0,121.89308862667734
94.0,121.71422964007868
112.0,121.43298730185033
112.0,88.89764040712292
46.0,71.43636242215122
36.0,40.77627943890529
38.0,42.8547624864784
56.0,42.871409881318584
43.0,42.84163744388388
59.0,41.38516365809428
32.0,44.20614766219523
45.0,43.80212676007518
48.0,41.92118235898177
45.0,41.85046755844388
39.0,42.29981444953917
33.0,41.4212233905757
42.0,42.2015243990601
50.0,41.11291067791575
29.0,43.45322029606712
36.0,44.52654085243269
47.0,43.69157314223642
33.0,40.70057363566123
33.0,45.35430961542388
46.0,42.15926620038842
60.0,42.47764238996465
53.0,42.7264731261528
58.0,49.29768022142675
27.0,47.7607561889175
38.0,54.38373706239897
80.0,111.68864476065235
117.0,101.69513252643141
131.0,119.37075680495686
126.0,113.98050264807145
107.0,122.84398062319946
136.0,119.37142746137002
115.0,136.5473894842112
186.0,141.72410887314467
211.0,185.14161196026572
207.0,180.43664856405087
170.0,185.31939133220448
188.0,184.27404307879883
189.0,187.34253512398664
172.0,190.19577721574285
189.0,178.10303136956406
191.0,190.41173719384446
208.0,185.07910431331828
176.0,185.9444746505066
228.0,185.8921271231123
222.0,188.62903704729797
120.0,132.78668795854514
95.0,107.09867518209765
115.0,102.93710825394783
122.0,109.45250234624467
69.0,105.9210996963247
85.0,98.57548242367383
92.0,99.77729884058004
61.0,117.32556524265506
85.0,92.86926032342326
79.0,84.99562556329525
78.0,88.00868533971419
79.0,87.78795594537425
106.0,89.18916314697346
70.0,91.39234643941006
79.0,85.34963787675096
74.0,86.1917366173061
117.0,99.44566446033078
173.0,108.78570599120484
165.0,143.7430578176904
63.0,124.90446661109365
155.0,123.92322757306817
132.0,159.6409296204891
157.0,150.16696454457647
196.0,129.05686298312935
200.0,190.85826127926427
194.0,186.44709587666125
186.0,184.16620763901946
222.0,185.78929409447275
207.0,187.7823889156598
189.0,189.1768887420675
191.0,191.0261058337939
195.0,191.66898918037728
193.0,176.6786916739881
174.0,163.48053419541725
126.0,151.50985230879905
141.0,122.89248160078398
149.0,121.05726421995088
118.0,127.2006457434121
148.0,124.52855288087174
145.0,127.28077927731823
142.0,128.27649434870438
124.0,131.34939139689976
110.0,123.23949341128653
140.0,134.27378131786244
127.0,104.75462191461605
57.0,85.02081975877934
47.0,43.294106851809936
27.0,41.36247443983154
37.0,47.87017360246783
47.0,41.43053557081462
46.0,42.669760158493936
35.0,42.70935904813272
33.0,41.93253747771831
56.0,42.921873506876636
49.0,40.95336921900724
56.0,41.46759821905728
38.0,41.81197600571514
41.0,41.093203431588954
56.0,41.73860671523158
26.0,42.51632729205891
27.0,43.8068920483741
54.0,42.29228851649057
48.0,40.95953213129213
53.0,43.16629672755168
57.0,44.639155933854575
28.0,43.71348626098565
38.0,38.774829107233444
38.0,44.45925444969005
35.0,39.608008780859734
35.0,47.961905979297626
87.0,115.17693627296948
110.0,91.82790320498114
155.0,111.01987662367566
93.0,138.3973625722818
145.0,132.31610782331762
136.0,134.97857657314452
129.0,140.86768560483816
204.0,138.25346264728472
210.0,182.874210128628
198.0,182.99377340042986
204.0,180.28243838113835
167.0,193.78322407700173
192.0,181.08140568496373
225.0,188.11629701095472
170.0,183.02150229218924
166.0,168.8425308235642
200.0,189.02781251310026
150.0,180.46898312023194
125.0,124.87363030887565
76.0,103.87988515572681
112.0,121.87969990025692
134.0,94.55268952503926
70.0,105.6057676685033
80.0,96.8070413136244
101.0,92.09109289668928
72.0,92.97894515520755
94.0,87.65914976358019
94.0,87.83913157126725
75.0,91.46578606356636
104.0,87.78007444562222
88.0,89.40266324903541
70.0,91.11130768719869
130.0,104.68520406526895
176.0,112.05855369130572
134.0,149.37843153043573
107.0,131.87566419667067
105.0,120.56265299609223
86.0,108.52108926636761
80.0,96.37079861527602
76.0,125.83530740001044
81.0,133.72175185160089
135.0,127.7112575687961
155.0,112.85917682084143
223.0,151.8997300652152
203.0,181.39030164489057
185.0,191.02888949071684
173.0,186.35086619335928
151.0,191.6908712441669
228.0,186.7501552284499
203.0,182.76994387961167
216.0,186.89083690463275
216.0,170.6548943873344
165.0,162.2848582898277
139.0,132.26554938520906
136.0,125.58435775230629
119.0,121.53522434002467
123.0,118.8038387053083
128.0,123.14671879697106
165.0,125.27062179922338
41.0,86.13481065681967
41.0,44.052498097929465
24.0,42.72557063540572
40.0,45.747475977052126
32.0,41.891537118541486
36.0,42.578143837141106
53.0,44.610874138793186
38.0,42.355405776197784
45.0,41.27932921607119
39.0,41.994204628549994
50.0,41.652154945683066
30.0,43.04781837200141
27.0,42.383186978359824
52.0,42.46032852037832
56.0,40.991936596854636
42.0,43.03306178638364
28.0,43.70739244020526
37.0,45.3514810339242
42.0,41.139718232151175
48.0,43.30337076607041
37.0,43.7721560867506
50.0,44.590059334812764
52.0,44.91329401049452
33.0,45.75779810999182
32.0,48.13396098297254
51.0,89.64665991455098
70.0,84.25390807739984
105.0,91.16350656476581
63.0,109.70132408773419
91.0,80.09713903073465
63.0,102.3048994031757
80.0,103.39567029755341
101.0,100.88409806764535
85.0,89.94181778312395
65.0,86.65550396314148
116.0,85.65697872541347
51.0,98.01723782515964
102.0,92.54790669176059
112.0,82.81031773572991
81.0,104.83482066059474
82.0,100.58478100592909
57.0,95.48203790248789
98.0,87.62892839241907
94.0,89.28685720456815
69.0,91.87320886327271
233.0,112.3778465758
226.0,230.60294157078977
265.0,191.0238273884189
200.0,223.36700423881678
234.0,245.94579086483688
222.0,238.26036939449438
207.0,210.0951576841654
220.0,219.47105630809565
247.0,199.75147861595732
231.0,229.89017406204908
237.0,229.98614448051947
233.0,233.37346748757784
206.0,228.06134036796527
226.0,215.3666187515598
201.0,228.62576489156262
225.0,198.100620957195
254.0,180.90816347619577
225.0,234.31267567155064
219.0,231.5665638111888
219.0,214.81420893458397
246.0,218.33544716620264
236.0,235.27977174581952
212.0,239.59143068043076
251.0,229.9934342740593
104.0,178.3104444444443
104.0,113.14636403176932
84.0,110.39771154339671
123.0,111.94288210091719
85.0,107.27881001331318
92.0,107.51124225144252
111.0,108.09249761302688
128.0,109.90333947814713
82.0,108.22462085286703
108.0,109.1619130144164
104.0,102.81552085977434
90.0,115.49177085959018
93.0,108.93945306733481
114.0,108.47307646881596
124.0,109.95089341762403
117.0,102.27229496901607
55.0,102.19824890426844
51.0,79.8304167273502
47.0,51.15438348693438
65.0,54.49080718586966
54.0,54.76283045426794
50.0,46.1326518759019
61.0,52.591404928404906
57.0,56.58068064574313
46.0,63.739848882300464
43.0,55.12197607686011
